millis, UV [0-1023], BME_1_Temp, BME_1_Pres, BME_1_Hum, BME_1_Res, BME_1_Alt, BME_2_Temp, BME_2_Pres, BME_2_Hum, BME_2_Res, BME_2_Alt, Scaled. Acc.X, Scaled. Acc.Y, Scaled. Acc.Z, Gyr.X, Gyr.Y, Gyr.Z, Mag.X, Mag.Y, Mag.Z, Tmp, Radiation_count, counts_per_minute, uSvh, uSvhError, noiseCount, Ozone (PPB.), 
2126, 0,28.71432,27602,27.19821,91.05700,704.89526,27.87056,27608,29.53098,113.55800,704.45135,5.37109, -3.90625, 1022.94920, -2.51145, 3.16031, -3.44275, 23.85000, -20.70000, 61.50000, 33.10950, 0,0.00000,0.00000,0.00000,0,20, 
3867, 0,28.55161,27604,26.90763,95.43100,704.89526,27.72315,27609,29.21715,118.83400,704.45135,-8.78906, 10.74219, 1039.06250, 1.85496, 1.64885, 0.11450, 24.15000, -21.90000, 60.00000, 33.30119, 0,0.00000,0.00000,0.00000,0,20, 
5607, 1,28.43502,27604,26.68789,98.80100,704.89526,27.60679,27609,28.95779,124.53100,704.36151,-14.16016, 8.30078, 1035.15630, -0.75573, 4.53435, 0.48092, 24.90000, -19.95000, 60.45000, 33.49289, 0,0.00000,0.00000,0.00000,0,20, 
7347, 0,28.36551,27604,26.46123,101.32000,704.80804,27.53747,27610,28.71990,128.57600,704.36151,-1.46484, 6.83594, 1050.78130, 1.83969, 0.72519, -0.46565, 26.25000, -20.10000, 59.55000, 33.44496, 0,0.00000,0.00000,0.00000,0,20, 
9089, 1,28.32507,27604,26.27037,102.94500,704.89526,27.49858,27609,28.50758,129.78101,704.45135,-17.08984, -15.62500, 1022.94920, -1.87023, 4.24427, -0.49618, 24.90000, -21.15000, 60.45000, 33.15742, 0,0.00000,0.00000,0.00000,0,20, 
10826, 0,28.30200,27604,26.11971,104.68900,704.80804,27.47819,27609,28.33097,131.94400,704.45135,-24.41406, -0.97656, 1020.99600, -0.33588, 2.13740, 0.88550, 26.25000, -19.80000, 60.30000, 33.34912, 1,5.75650,0.10855,0.10855,0,20, 
12567, 0,28.29094,27604,26.00319,105.61700,704.80804,27.46972,27610,28.20626,132.25900,704.45135,-6.83594, 7.81250, 1022.94920, -1.02290, 2.16031, -0.17557, 24.15000, -21.45000, 60.30000, 33.34912, 1,4.93299,0.09302,0.09302,0,20, 
14307, 0,28.28526,27604,25.91470,106.08700,704.89526,27.46596,27609,28.12710,133.42599,704.36151,-10.74219, 8.78906, 1018.55460, 1.34351, 1.04580, -0.19084, 25.05000, -21.30000, 59.55000, 33.34912, 1,4.31468,0.08136,0.08136,0,20, 
16050, 0,28.28147,27604,25.84290,106.83400,704.89526,27.46376,27610,28.03123,134.50600,704.36151,-11.23047, -0.97656, 1027.34380, -1.39695, 5.08397, -1.45802, 24.90000, -19.95000, 59.70000, 33.34912, 1,3.83509,0.07232,0.07232,0,20, 
17790, 0,28.28115,27603,25.78240,107.93900,704.98511,27.46220,27609,27.94110,135.71400,704.45135,2.92969, 7.32422, 1024.41410, 2.83969, -0.52672, 0.76336, 24.90000, -20.40000, 59.25000, 33.25327, 1,3.45066,0.06507,0.06507,0,20, 
