millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),bmptemp(*C),bmppres(PA),bmpalt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX (uT),magY (uT),magZ (uT),UV [0-1023],NO2[0-1023],CO[0-1023],NH3[0-1023],radiation count,rad count per min,uSv/h,uSv/h error,noise events,
1460,16.74,97668,32.85,4.33,308.85,20.27,97805.55,297.23,700.195,-688.965,-130.859,3.939,2.809,21.000,-17.550,-44.100,34.950,0,0,0,239,0,0.00,0.00,0.00,0,
2843,16.71,97670,32.69,4.62,308.76,20.28,97792.09,298.38,658.203,-693.848,-21.484,11.176,8.305,12.687,-16.200,-44.550,37.350,0,0,0,213,0,0.00,0.00,0.00,0,
4226,16.57,97673,32.59,5.18,308.59,20.28,97784.89,299.00,710.449,-736.816,112.793,-7.000,-8.802,7.687,-15.300,-43.350,41.550,0,0,0,207,1,15.15,0.29,0.29,0,
5609,16.53,97672,32.50,5.76,308.59,20.29,97779.74,299.44,895.508,-489.746,-104.980,-7.924,7.092,-43.038,-26.550,-37.800,34.500,0,0,0,204,2,22.44,0.42,0.30,0,
6996,16.53,97673,32.42,6.30,308.59,20.30,97763.86,300.80,882.812,-538.086,-218.750,-6.840,-21.786,9.679,-27.900,-37.950,32.400,0,0,0,204,2,17.83,0.34,0.24,0,
8377,16.56,97672,32.36,6.89,308.76,20.30,97754.22,301.63,920.898,-423.828,146.484,16.443,2.573,-6.779,-25.800,-30.900,45.750,0,0,0,204,2,14.79,0.28,0.20,0,
9760,16.59,97671,32.32,7.42,308.68,20.30,97749.61,302.02,-635.742,-806.152,-117.676,4.618,-8.809,101.305,21.750,-44.550,34.500,0,0,0,210,2,12.63,0.24,0.17,0,
11147,16.62,97673,32.27,7.92,308.59,20.31,97743.19,302.57,-835.449,-370.605,-357.910,11.840,12.802,-0.687,43.200,-21.300,27.600,0,0,0,191,2,11.03,0.21,0.15,0,
12530,16.64,97674,32.26,8.42,308.50,20.31,97732.91,303.45,-735.351,-466.797,-448.730,2.137,4.687,-1.130,43.050,-24.150,21.900,0,0,0,225,2,9.78,0.18,0.13,0,
13913,16.67,97674,32.24,8.89,308.50,20.31,97724.74,304.15,510.742,-845.215,-284.180,-0.115,-14.092,3.634,-9.300,-49.800,31.350,0,0,0,197,2,8.79,0.17,0.12,0,
15299,16.70,97674,32.25,9.32,308.59,20.30,97720.07,304.56,456.055,-706.543,-388.672,2.519,-9.496,5.611,-13.050,-49.800,19.650,0,0,0,187,2,7.98,0.15,0.11,0,
