millis,bmetemp(*C),bmepres(Pa),bmehum(%),bmegas_res(KOhm),bmealt(m),accX (mg),accY (mg),accZ (mg),gyrX (deg/sec),gyrY (deg/sec),gyrZ (deg/sec),magX (uT),magY (uT),magZ (uT),UV [0-1023],radiation count,rad count per min,uSv/h,uSv/h error,noise events,ozone concentration,
1533,27.73,96365,16.18,16.46,421.22,176.758,573.242,874.512,7.840,-2.168,-4.130,-4.350,12.150,60.300,0,0,0.00,0.00,0.00,0,0,
3109,27.66,96368,15.72,16.64,421.13,176.270,633.301,771.484,1.008,3.168,1.275,-2.700,15.450,58.200,0,0,0.00,0.00,0.00,0,0,
4689,27.51,96369,15.41,17.27,421.04,140.625,622.559,820.312,-1.649,6.931,-3.489,-2.400,15.000,58.200,0,0,0.00,0.00,0.00,0,0,
6266,27.46,96369,15.20,18.13,421.04,183.594,620.605,852.051,-0.053,-2.237,-4.336,-2.850,15.150,58.800,0,0,0.00,0.00,0.00,0,0,
7842,27.45,96370,15.04,19.35,420.96,209.961,527.832,837.402,16.695,-4.977,-3.176,-2.100,14.850,59.850,0,0,0.00,0.00,0.00,0,0,
9419,27.47,96369,14.97,20.45,421.04,168.457,593.750,832.519,-4.466,5.511,4.153,-1.950,14.700,57.450,0,0,0.00,0.00,0.00,0,0,
11000,27.49,96367,15.04,21.39,421.04,173.828,607.422,853.027,-5.031,5.069,-0.069,-1.800,14.400,58.350,0,0,0.00,0.00,0.00,0,0,
12577,27.51,96369,15.09,22.04,421.04,161.621,591.309,831.055,2.321,1.863,-1.260,-1.650,14.250,59.250,0,0,0.00,0.00,0.00,0,0,
14153,27.53,96369,15.01,22.71,421.04,198.242,604.004,819.824,0.328,-0.130,-2.901,-1.800,11.400,57.300,0,0,0.00,0.00,0.00,0,0,
15728,27.55,96369,14.87,23.47,420.96,208.008,504.883,939.941,-11.282,-2.931,1.450,-1.650,7.800,60.750,0,0,0.00,0.00,0.00,0,0,
17308,27.57,96369,14.69,24.38,421.04,262.695,663.574,799.316,1.252,5.137,-0.489,-7.650,15.150,59.550,0,0,0.00,0.00,0.00,0,0,
18885,27.58,96368,14.83,25.13,421.04,233.398,708.496,777.832,-2.038,4.092,2.305,-8.400,16.800,57.750,0,0,0.00,0.00,0.00,0,0,
20461,27.59,96369,15.00,25.92,421.04,290.039,686.035,743.652,-1.420,9.107,-11.153,-7.350,18.300,57.300,0,0,0.00,0.00,0.00,0,0,
22038,27.62,96368,15.43,26.60,421.13,221.680,671.875,762.207,2.221,6.740,3.489,-5.250,16.950,56.850,0,0,0.00,0.00,0.00,0,0,
23618,27.66,96368,16.33,27.11,421.13,230.469,654.785,801.269,-14.916,-20.664,0.901,-7.350,14.400,58.050,0,0,0.00,0.00,0.00,0,1,
25194,27.69,96369,17.25,27.38,421.13,291.016,524.414,786.133,-1.672,1.183,8.305,-8.400,10.200,59.850,0,0,0.00,0.00,0.00,0,2,
26771,27.70,96367,18.01,28.73,421.13,247.559,729.980,630.371,-0.962,4.130,1.740,-7.650,21.300,55.800,0,0,0.00,0.00,0.00,0,3,
